Date,Value
2016.07.08,3434.04909900
2016.07.09,3492.07013967
2016.07.10,3550.09118033
2016.07.11,3608.11222100
2016.07.12,3805.94562900
2016.07.13,3945.01346500
2016.07.14,4069.69139700
2016.07.15,4174.29257200
2016.07.16,4212.48008600
2016.07.17,4250.66760000
2016.07.18,4288.85511400
2016.07.19,4346.41181200
2016.07.20,4426.34072900
2016.07.21,4453.79825000
2016.07.22,4508.70543900
2016.07.23,4505.55614567
2016.07.24,4502.40685233
2016.07.25,4499.25755900
2016.07.26,4506.68333300
2016.07.27,4482.54895300
2016.07.28,4448.30131400
2016.07.29,4439.32807600
2016.07.30,4421.68848967
2016.07.31,4404.04890333
2016.08.01,4386.40931700
2016.08.02,4242.38173100
2016.08.03,4154.12623700
2016.08.04,4081.49715800
2016.08.05,4069.64181000
2016.08.06,4067.84696600
2016.08.07,4066.05212200
2016.08.08,4064.25727800
2016.08.09,4053.88221700
2016.08.10,4011.09212900
2016.08.11,3987.95114300
2016.08.12,3946.97584400
2016.08.13,3944.85292400
2016.08.14,3942.73000400
2016.08.15,3940.60708400
2016.08.16,3861.85875900
2016.08.17,3784.56964700
2016.08.18,3766.06460900
2016.08.19,3707.26247800
2016.08.20,3685.70843300
2016.08.21,3664.15438800
2016.08.22,3642.60034300
2016.08.23,3626.90121600
2016.08.24,3540.34395700
2016.08.25,3470.43578000
2016.08.26,3367.96211000
2016.08.27,3355.94384400
2016.08.28,3343.92557800
2016.08.29,3331.90731200
2016.08.30,3279.52092300
2016.08.31,3186.43295600
2016.09.01,3097.96057900
2016.09.02,3102.82689400
2016.09.03,3107.97603525
2016.09.04,3113.12517650
2016.09.05,3118.27431775
2016.09.06,3123.42345900
2016.09.07,3165.36640400
2016.09.08,3173.15079100
2016.09.09,3029.84068700
2016.09.10,3007.64757300
2016.09.11,2985.45445900
2016.09.12,2963.26134500
2016.09.13,2771.81970100
2016.09.14,2591.37799700
2016.09.15,2501.89345000
2016.09.16,2374.47469500
2016.09.17,2353.76955867
2016.09.18,2333.06442233
2016.09.19,2312.35928600
2016.09.20,2234.13881500
2016.09.21,2268.28961800
2016.09.22,2390.14710600
2016.09.23,2433.33452400
2016.09.24,2420.72071367
2016.09.25,2408.10690333
2016.09.26,2395.49309300
2016.09.27,2382.66120400
2016.09.28,2431.67663300
2016.09.29,2376.67644100
2016.09.30,2385.21789500
2016.10.01,2377.42684633
2016.10.02,2369.63579767
2016.10.03,2361.84474900
2016.10.04,2267.30148600
2016.10.05,2212.23048800
2016.10.06,2141.93363200
2016.10.07,2017.97015200
2016.10.08,2002.77727667
2016.10.09,1987.58440133
2016.10.10,1972.39152600
2016.10.11,1815.85984400
2016.10.12,1679.44595600
2016.10.13,1508.01485100
2016.10.14,1359.75118300
2016.10.15,1307.29645233
2016.10.16,1254.84172167
2016.10.17,1202.38699100
2016.10.18,1145.52867200
2016.10.19,1155.88716500
2016.10.20,1139.56424200
2016.10.21,1128.26032100
2016.10.22,1134.57493600
2016.10.23,1140.88955100
2016.10.24,1147.20416600
2016.10.25,1130.96513400
2016.10.26,1073.27593500
2016.10.27,954.53529090
2016.10.28,822.93936350
2016.10.29,786.66295857
2016.10.30,750.38655363
2016.10.31,714.11014870
2016.11.01,544.34061940
2016.11.02,320.86596860
2016.11.03,101.44081240
2016.11.04,-77.97490017
2016.11.05,-94.92842011
2016.11.06,-111.88194006
2016.11.07,-128.83546000
2016.11.08,-147.82706130
2016.11.09,-143.97574510
2016.11.10,-148.36299100
2016.11.11,-133.32227130
2016.11.12,-125.48012910
2016.11.13,-117.63798690
2016.11.14,-109.79584470
2016.11.15,-16.83177063
2016.11.16,71.73667152
2016.11.17,158.20400620
2016.11.18,226.94255730
2016.11.19,272.12147347
2016.11.20,317.30038963
2016.11.21,362.47930580
2016.11.22,542.25082910
2016.11.23,699.74422750
2016.11.24,789.29829470
2016.11.25,878.85236190
2016.11.26,912.46675960
2016.11.27,946.08115730
2016.11.28,979.69555500
2016.11.29,1056.51800700
2016.11.30,1089.61861400
2016.12.01,1080.82154000
2016.12.02,1087.49593400
